id,name,description,price,currency,is_active
1,Реконструируемая и асимметричная ценовая структура,Присесть увеличиваться спорт пятеро угроза висеть отражение. Пересечь неудобно ярко коричневый изредка. Тысяча граница непривычный.,5344.39,EUR,True
2,Делегируемая и бескомпромиссная способность,Разнообразный назначить исполнять бабочка горький. Монета неправда покинуть выгнать кожа. Встать правление упор освобождение рай сомнительный.,8474.11,USD,True
3,Делегируемое и веб-ориентированное шифрование,Отъезд решение ребятишки совет отражение салон мусор. Школьный заведение налево самостоятельно. Танцевать девка запустить скрытый болото.,1179.53,EUR,True
4,Объектная и составная миграция,Скрытый скрытый холодно изображать. Плод жить передо упор коричневый аж. Находить выражаться проход построить равнодушный конструкция мотоцикл вчера.,5121.93,EUR,True
5,Межгрупповое и третичное шифрование,Правый предоставить провал аллея район. Иной бак поставить. Умирать еврейский идея выразить. Видимо мотоцикл рабочий близко.,569.32,EUR,True
6,Автоматизированный и локальный анализатор,Находить единый число команда потрясти. Хозяйка одиннадцать указанный тесно юный близко ведь. Приятель пробовать недостаток тревога.,8735.49,EUR,True
7,Взаимовыгодный и гибридный фреймворк,Выраженный еврейский засунуть сравнение более четко применяться. Мягкий зеленый угол. Князь дружно кузнец.,1947.93,USD,True
8,Амортизированная и единообразная миграция,Заплакать спичка функция дрогнуть. Оборот головка картинка наткнуться умолять. Написать мера неправда выдержать салон поймать. Житель банк зима ставить.,6074.55,USD,False
9,Инновационное и приоритетное хранилище данных,"Девка лапа да присесть место ленинград жить. Рот миг школьный танцевать недостаток.
Мгновение витрина пол прежний правый лететь назначить. Роскошный бабочка роскошный дорогой падаль полюбить смелый.",6909.23,EUR,True
10,Централизованное и статическое интернет-решение,"Болото а салон правление решение.
Важный секунда полюбить неожиданный порог потом. Отметить сверкать военный художественный степь шлем.
Поставить отдел обида. Низкий дурацкий лететь запретить ручей.",1671.44,USD,True
11,Взаимовыгодная и действенная сеть Экстранет,"Горький посвятить танцевать увеличиваться. Единый недостаток функция штаб растеряться. Крыса вчера анализ сомнительный.
Пересечь премьера лапа неожиданный. Выраженный очутиться роса лиловый госпожа.",1859.15,EUR,True
12,Интуитивное и системное сотрудничество,Близко выдержать тысяча прощение бок. Полностью низкий выражаться зачем.,4794.85,RUB,True
13,Полный и масштабируемый вызов,Забирать инструкция сходить вообще. Порог смеяться куча разуметься исполнять поздравлять более. Изредка хлеб научить расстройство шлем грудь непривычный направо.,3701.5,EUR,True
14,Обязательная и направленная эмуляция,Сомнительный соответствие витрина торопливый дурацкий коммунизм волк. Очко умирать покинуть развитый посидеть. За манера район наступать слать головка плавно.,1725.85,EUR,True
15,Уменьшенная и статическая локальная сеть,"Затянуться эффект запустить песенка ответить. Выгнать функция естественный решетка важный второй.
Народ холодно художественный цвет один.",4179.74,RUB,True
16,Стратегическая и логистическая прошивка,Разуметься изучить райком умирать прощение висеть пропадать. Цвет мучительно приятель. Сынок цепочка посидеть число отдел пересечь.,5204.96,RUB,True
17,Модернизируемый и мультимедийный эталон,Перебивать указанный поговорить лапа конференция головной. Демократия расстройство секунда невозможно конференция.,8738.72,RUB,True
18,Кросс-платформенная и асимметричная гибкость,Успокоиться передо бетонный другой монета. Совет зарплата сынок. Мера ломать сверкающий ныне аллея собеседник дрогнуть. Магазин постоянный посвятить настать казнь решетка монета.,563.87,USD,True
19,Дублируемая и оптимальная эмуляция,Налоговый сохранять легко посвятить девка. Правление покидать научить грустный кидать избегать.,7631.22,USD,True
20,Амортизированное и итернациональное решение,Палец исполнять низкий провинция приятель. Поколение сынок терапия тюрьма недостаток мучительно каюта чем. Счастье ставить за собеседник.,8087.61,RUB,True
21,Увеличенная и встречная нейронная сеть,Отъезд мрачно очутиться сопровождаться указанный.,870.97,EUR,True
22,Клиент-ориентированная и аналитическая поддержка,Угроза демократия художественный самостоятельно кузнец носок радость. Заложить упорно собеседник терапия какой. Построить решение новый головной заработать похороны уничтожение запеть.,3333.8,EUR,True
23,Программируемое и переходное интернет-решение,Плясать решетка умирать магазин совещание передо картинка упорно. Потрясти металл витрина устройство. Казнь умолять налоговый уничтожение стакан. Результат прошептать рота секунда потом.,9829.09,EUR,True
24,Многоуровневая и мобильная вероятность,"Лететь назначить ленинград факультет. Зарплата коричневый премьера тюрьма холодно ленинград. Носок какой спалить мелочь решение ответить триста.
Счастье пересечь жидкий. Бок чем мусор спорт премьера.",9468.37,EUR,True
25,Ориентированный и логистический портал,Парень спичка художественный достоинство бригада. Вывести художественный заплакать помолчать затянуться нервно коробка. Поймать нажать прощение естественный привлекать.,9244.68,EUR,True
26,Горизонтальное и бескомпромиссное интернет-решение,Зачем дьявол боец указанный механический пища. Витрина возникновение художественный возбуждение тута даль. Горький о поздравлять космос приятель неправда.,4465.64,USD,True
